dataset,model,task,strategy,accuracy,f1,valid,total
CLAUDE,Cloud/rnj-1:8b,pain_intensity,cot_ensemble,0.5172,0.2333,493,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,cot_decision_tree,0.8434,0.7979,498,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,cot_confidence,0.804,0.7619,449,500
CLAUDE,Cloud/rnj-1:8b,pain_intensity,few_shot,0.6092,0.4656,476,500
CLAUDE,Cloud/rnj-1:8b,etiology,zero_shot,0.578,0.6305,500,500
CLAUDE,Cloud/rnj-1:8b,etiology,cot_simple,0.744,0.8532,500,500
CLAUDE,Cloud/rnj-1:8b,etiology,cot_verification,0.742,0.8519,500,500
CLAUDE,Cloud/rnj-1:8b,etiology,few_shot,0.602,0.6924,500,500
CLAUDE,Cloud/rnj-1:8b,etiology,knowledge_guided,0.444,0.5382,500,500
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,zero_shot,0.8133,0.7922,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,cot_simple,0.8835,0.8651,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,cot_hierarchical,1.0,1.0,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,cot_verification,0.747,0.5934,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,cot_ensemble,0.5723,0.39,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,cot_decision_tree,0.8213,0.7293,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,cot_confidence,0.8313,0.8079,498,498
DOCTORAI,Cloud/devstral-small-2:24b,pain_intensity,few_shot,0.8855,0.8623,498,498
DOCTORAI,Cloud/devstral-small-2:24b,etiology,zero_shot,0.8313,0.9075,498,498
DOCTORAI,Cloud/devstral-small-2:24b,etiology,cot_simple,0.8514,0.9197,498,498
DOCTORAI,Cloud/devstral-small-2:24b,etiology,cot_verification,0.8514,0.9197,498,498
DOCTORAI,Cloud/devstral-small-2:24b,etiology,few_shot,0.8514,0.9197,498,498
DOCTORAI,Cloud/devstral-small-2:24b,etiology,knowledge_guided,0.4357,0.5749,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,zero_shot,0.5924,0.4457,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,cot_simple,0.6968,0.6112,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,cot_hierarchical,0.996,0.9957,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,cot_verification,0.5341,0.2378,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,cot_ensemble,0.5321,0.2315,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,cot_decision_tree,0.5321,0.2315,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,cot_confidence,0.5281,0.2304,498,498
DOCTORAI,Cloud/gemma3:12b,pain_intensity,few_shot,0.9036,0.8844,498,498
DOCTORAI,Cloud/gemma3:12b,etiology,zero_shot,0.8474,0.9172,498,498
DOCTORAI,Cloud/gemma3:12b,etiology,cot_simple,0.8514,0.9197,498,498
DOCTORAI,Cloud/gemma3:12b,etiology,cot_verification,0.8394,0.9123,498,498
DOCTORAI,Cloud/gemma3:12b,etiology,few_shot,0.7209,0.8343,498,498
DOCTORAI,Cloud/gemma3:12b,etiology,knowledge_guided,0.4458,0.5843,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,zero_shot,0.9157,0.9058,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,cot_simple,0.9076,0.8991,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,cot_hierarchical,1.0,1.0,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,cot_verification,0.5361,0.2435,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,cot_ensemble,0.5321,0.2315,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,cot_decision_tree,0.7992,0.712,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,cot_confidence,0.5663,0.3304,498,498
DOCTORAI,Cloud/gemma3:27b,pain_intensity,few_shot,0.9478,0.9434,498,498
DOCTORAI,Cloud/gemma3:27b,etiology,zero_shot,0.8434,0.915,498,498
DOCTORAI,Cloud/gemma3:27b,etiology,cot_simple,0.8514,0.9197,498,498
DOCTORAI,Cloud/gemma3:27b,etiology,cot_verification,0.8494,0.9186,498,498
DOCTORAI,Cloud/gemma3:27b,etiology,few_shot,0.7731,0.8706,498,498
DOCTORAI,Cloud/gemma3:27b,etiology,knowledge_guided,0.4337,0.5714,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,zero_shot,0.8775,0.8285,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,cot_simple,0.5361,0.244,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,cot_hierarchical,0.6908,0.5564,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,cot_verification,0.5321,0.2315,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,cot_ensemble,0.5321,0.2315,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,cot_decision_tree,0.5705,0.5484,312,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,cot_confidence,0.6305,0.4559,498,498
DOCTORAI,Cloud/gemma3:4b,pain_intensity,few_shot,0.8775,0.8464,498,498
DOCTORAI,Cloud/gemma3:4b,etiology,zero_shot,0.8514,0.9197,498,498
DOCTORAI,Cloud/gemma3:4b,etiology,cot_simple,0.8414,0.9135,498,498
DOCTORAI,Cloud/gemma3:4b,etiology,cot_verification,0.7871,0.8793,498,498
DOCTORAI,Cloud/gemma3:4b,etiology,few_shot,0.8514,0.9197,498,498
DOCTORAI,Cloud/gemma3:4b,etiology,knowledge_guided,0.3052,0.3686,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,zero_shot,0.9538,0.9453,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,cot_simple,0.8052,0.7567,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,cot_hierarchical,0.994,0.9928,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,cot_verification,0.9157,0.8961,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,cot_ensemble,0.6928,0.5569,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,cot_decision_tree,0.5462,0.2727,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,cot_confidence,0.9518,0.9381,498,498
DOCTORAI,Cloud/gemma4:31b,pain_intensity,few_shot,0.988,0.9849,498,498
DOCTORAI,Cloud/gemma4:31b,etiology,zero_shot,0.8454,0.916,498,498
DOCTORAI,Cloud/gemma4:31b,etiology,cot_simple,0.8394,0.9125,498,498
DOCTORAI,Cloud/gemma4:31b,etiology,cot_verification,0.8012,0.8891,498,498
DOCTORAI,Cloud/gemma4:31b,etiology,few_shot,0.8012,0.8889,498,498
DOCTORAI,Cloud/gemma4:31b,etiology,knowledge_guided,0.4378,0.5758,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,zero_shot,0.8936,0.8539,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,cot_simple,0.7751,0.6874,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,cot_hierarchical,0.9779,0.9734,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,cot_verification,0.7129,0.5659,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,cot_ensemble,0.4728,0.3746,497,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,cot_decision_tree,0.6165,0.4438,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,cot_confidence,0.8052,0.792,498,498
DOCTORAI,Cloud/ministral-3:14b,pain_intensity,few_shot,0.9779,0.9723,498,498
DOCTORAI,Cloud/ministral-3:14b,etiology,zero_shot,0.8514,0.9197,498,498
DOCTORAI,Cloud/ministral-3:14b,etiology,cot_simple,0.8514,0.9197,498,498
DOCTORAI,Cloud/ministral-3:14b,etiology,cot_verification,0.8514,0.9197,498,498
DOCTORAI,Cloud/ministral-3:14b,etiology,few_shot,0.8514,0.9197,498,498
DOCTORAI,Cloud/ministral-3:14b,etiology,knowledge_guided,0.4699,0.6118,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,zero_shot,0.8253,0.8112,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,cot_simple,0.9237,0.9073,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,cot_hierarchical,0.9739,0.9707,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,cot_verification,0.7932,0.7169,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,cot_ensemble,0.6285,0.5048,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,cot_decision_tree,0.815,0.7503,492,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,cot_confidence,0.4639,0.4556,498,498
DOCTORAI,Cloud/ministral-3:8b,pain_intensity,few_shot,0.8976,0.8696,498,498
DOCTORAI,Cloud/ministral-3:8b,etiology,zero_shot,0.8092,0.8934,498,498
DOCTORAI,Cloud/ministral-3:8b,etiology,cot_simple,0.8494,0.9186,498,498
DOCTORAI,Cloud/ministral-3:8b,etiology,cot_verification,0.8474,0.9174,498,498
DOCTORAI,Cloud/ministral-3:8b,etiology,few_shot,0.7711,0.8687,498,498
DOCTORAI,Cloud/ministral-3:8b,etiology,knowledge_guided,0.502,0.6374,498,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,zero_shot,0.7883,0.7242,496,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,cot_simple,0.5361,0.244,498,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,cot_hierarchical,0.992,0.9907,498,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,cot_verification,0.7737,0.7017,495,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,cot_ensemble,0.5341,0.2384,498,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,cot_decision_tree,0.7984,0.707,496,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,cot_confidence,0.7856,0.7308,457,498
DOCTORAI,Cloud/rnj-1:8b,pain_intensity,few_shot,0.7252,0.66,444,498
DOCTORAI,Cloud/rnj-1:8b,etiology,zero_shot,0.4739,0.5969,498,498
DOCTORAI,Cloud/rnj-1:8b,etiology,cot_simple,0.8514,0.9197,498,498
DOCTORAI,Cloud/rnj-1:8b,etiology,cot_verification,0.8494,0.9186,498,498
DOCTORAI,Cloud/rnj-1:8b,etiology,few_shot,0.7108,0.8257,498,498
DOCTORAI,Cloud/rnj-1:8b,etiology,knowledge_guided,0.4337,0.5714,498,498
